"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C18,C19,C20,C33,C34","0.1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6",""
"C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C17,C31,C32","1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","16",""
"C3","0.1µ @ 100V","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C16,C21,C22","4.7u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C23,C24,C25,C26","0.1µ","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C27,C28","2.2u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C29,C30","220n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C35,C36,C37,C38","22u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"D1","LED","150080GS75000","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2,D3","SMBJ60A-13-F","","SMBJ60A-13-F:DIOM5336X250N","2",""
"D4","NUP2105L","https://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF","Package_TO_SOT_SMD:SOT-23","1",""
"F1","1812L050PR","","1812L050PR:FUSM4632X75","1",""
"F2","696108003002","","696108003002:696108003002","1",""
"IC1","MAX14920ECB+T","https://datasheets.maximintegrated.com/en/ds/MAX14920-MAX14921.pdf","MAX14920ECB+T:QFP50P1200X1200X120-65N","1",""
"IC2","INA237AQDGSRQ1","https://www.ti.com/lit/ds/symlink/ina237-q1.pdf?ts=1625619121802","INA237A:SOP50P490X110-10N","1",""
"IC3","ATA6560-GAQW-N","https://mouser.componentsearchengine.com/Datasheets/1/ATA6560-GAQW-N.pdf","ATA6560:SOIC127P600X175-8N","1",""
"J1,J10","XT60PW-M","","XT60PW-M:AMASS_XT60PW-M","2",""
"J2","691322310013","","691322310013:691322310013","1",""
"J3,J4,J5","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3",""
"J6","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J7","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J8","Screw_Terminal_01x02","~","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","1",""
"J9","436500328","","0436500328:MOLEX_436500328","1",""
"J11,J12","Conn_01x16","~","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","2",""
"L1,L2","VLS5045EX-220M-H","","VLS5045EX-220M:IND_VLS5045EX-220M-H","2",""
"Q1","DMP3099L-7","https://www.diodes.com//assets/Datasheets/DMP3099L.pdf","DMP3099L-7:SOT96P240X115-3N","1",""
"Q2,Q3,Q4","SQM120P06-07L_GE3","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-23/454361.pdf","SQM120P06-07L_GE3:SQM120P0607L_GE3","3",""
"Q5,Q6","DMN10H220L-7","https://www.diodes.com//assets/Datasheets/DMN10H220L.pdf","DMN10H220L-7:SOT96P240X115-3N","2",""
"R1","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13","3K3 1%","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12",""
"R14,R15,R16,R17,R18,R19,R20,R36,R37","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9",""
"R21,R22,R23,R28,R29","3K3","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R24","WSHM28186L800FEA","https://componentsearchengine.com/Datasheets/2/WSHM2818R0330FEB.pdf","WSHM28186L800FEA:WSHM2818R0330FEB","1",""
"R25,R26","10","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R27","120","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R30,R32","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R31","24.9k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R33","43.2k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R34","2.2k","https://www.mouser.co.uk/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1",""
"R35","6.8k","https://www.mouser.co.uk/datasheet/2/54/cr-1858361.pdf","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1",""
"S1","TS04-66-73-BK-100-SMT","","TS04-66-73-BK-100-SMT:SW_TS04-66-73-BK-100-SMT","1",""
"TH1,TH2,TH3,TH4","Thermistor_NTC","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"TP1,TP2,TP3,TP4","TestPoint","~","TestPoint:TestPoint_Pad_1.0x1.0mm","4",""
"U1","MAX6107EUR_T","","MAX6107EUR+T:SOT95P237X112-3N","1",""
"U2","MCP3208","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf","MCP3208-CI/SL:SOIC127P600X175-16N","1",""
"U3","NUCLEO-L432KC","","Nucleo-L432KC:MODULE_NUCLEO-L432KC","1",""
"U4,U5","LMR36510ADDA","http://www.ti.com/lit/ds/symlink/lmr36510.pdf","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","2",""
